easting,northing,depth
356614.4623,5714602.8690,0.766668954
356614.3508,5714602.7400,0.757452698
356614.2392,5714602.6100,0.748784692
356614.1805,5714602.5420,0.742364637
356614.1218,5714602.4740,0.739671927
356614.0090,5714602.3440,0.739984294
356613.9503,5714602.2760,0.741634842
356613.8904,5714602.2060,0.744231165
356613.8318,5714602.1380,0.748043415
356613.7717,5714602.0690,0.752681014
356613.7116,5714601.9990,0.757885858
356613.6516,5714601.9290,0.763744518
356613.5915,5714601.8600,0.77061082
356613.5221,5714601.7790,0.778919399
356613.4070,5714601.6460,0.788176648
356613.2448,5714601.4510,0.796919955
356613.1396,5714601.3210,0.804231533
356613.0323,5714601.1890,0.810043974
356612.9265,5714601.0590,0.814114898
356612.8690,5714600.9880,0.816254554
356612.8125,5714600.9190,0.816421786
356612.7560,5714600.8490,0.815358893
356612.6984,5714600.7780,0.813666095
356612.6410,5714600.7070,0.811403615
356612.5833,5714600.6370,0.808912953
356612.5174,5714600.5550,0.80603779
356612.4598,5714600.4850,0.802417848
356612.4033,5714600.4150,0.798240384
356612.3459,5714600.3440,0.793854284
356612.2860,5714600.2710,0.788890339
356612.2257,5714600.1960,0.783391779
356612.0721,5714600.0010,0.777785942
356611.9725,5714599.8710,0.772591885
356611.8779,5714599.7480,0.76784532
356611.8259,5714599.6810,0.764084162
356611.7716,5714599.6100,0.762101176
356611.7174,5714599.5400,0.761773695
356611.6631,5714599.4690,0.762744517
356611.6100,5714599.4000,0.764473954
356611.5558,5714599.3300,0.766980184
356611.5028,5714599.2610,0.770049081
356611.4496,5714599.1920,0.773632263
356611.3954,5714599.1210,0.777723562
356611.3410,5714599.0510,0.782526882
356611.2867,5714598.9800,0.787256236
356611.2226,5714598.8970,0.791640735
356611.1664,5714598.8240,0.795788874
356610.9726,5714598.5660,0.799446859
356610.8765,5714598.4360,0.801734214
356610.7803,5714598.3050,0.802759125
356610.6830,5714598.1730,0.802767534
356610.6307,5714598.1020,0.801756989
356610.5793,5714598.0320,0.799665608
356610.5277,5714597.9620,0.796638661
356610.4755,5714597.8910,0.793312988
356610.4231,5714597.8200,0.790034809
356610.3707,5714597.7480,0.787171613
356610.3185,5714597.6770,0.785556564
356610.2584,5714597.5960,0.785152879
356610.2072,5714597.5260,0.785528672
356610.1528,5714597.4520,0.787090738
356610.0993,5714597.3800,0.789712276
356609.9316,5714597.1480,0.791808177
356609.8584,5714597.0440,0.79278182
356609.7860,5714596.9410,0.792771697
356609.7466,5714596.8850,0.791777764
356609.7071,5714596.8290,0.789687219
356609.6677,5714596.7740,0.786853404
356609.6282,5714596.7180,0.784344114
356609.5888,5714596.6620,0.782654129
356609.5493,5714596.6060,0.782011096
356609.5107,5714596.5510,0.782582272
356609.4719,5714596.4960,0.783871211
356609.4326,5714596.4410,0.784696792
356609.3931,5714596.3850,0.784915253
356609.3545,5714596.3300,0.784694736
356609.3141,5714596.2730,0.783655828
356609.2730,5714596.2150,0.781344741
356609.2326,5714596.1570,0.778333433
356609.1095,5714595.9760,0.775039333
356609.0218,5714595.8440,0.771708
356608.9348,5714595.7130,0.768573274
356608.8469,5714595.5820,0.766377438
356608.7997,5714595.5110,0.765365257
356608.7544,5714595.4430,0.7653732
356608.7071,5714595.3720,0.766140818
356608.6601,5714595.3010,0.767597207
356608.6127,5714595.2300,0.769009647
356608.5654,5714595.1590,0.769814006
356608.5191,5714595.0900,0.77
356608.4649,5714595.0080,0.769830539
356608.4176,5714594.9370,0.769076176
356608.3258,5714594.7990,0.767920154
356608.2786,5714594.7290,0.767180436
356608.1480,5714594.5360,0.766979608
356608.0620,5714594.4100,0.766979494
356607.9741,5714594.2820,0.767181379
356607.9289,5714594.2150,0.768076908
356607.8820,5714594.1470,0.769736201
356607.8349,5714594.0780,0.770927639
356607.7879,5714594.0090,0.771273708
356607.7412,5714593.9410,0.771076261
356607.6943,5714593.8720,0.770209418
356607.6484,5714593.8050,0.768461931
356607.6024,5714593.7380,0.765548349
356607.5555,5714593.6700,0.761862394
356607.5084,5714593.6010,0.758140183
356607.4625,5714593.5340,0.754467368
356607.4071,5714593.4520,0.751585994
356607.3181,5714593.3220,0.749978066
356607.1914,5714593.1290,0.749596772
356607.1083,5714592.9990,0.74985115
356607.0258,5714592.8700,0.750185887
356606.9433,5714592.7410,0.750634595
356606.8985,5714592.6710,0.750905958
356606.8545,5714592.6020,0.750069897
356606.8095,5714592.5320,0.748242167
356606.7646,5714592.4610,0.746035951
356606.7198,5714592.3910,0.744150195
356606.6749,5714592.3210,0.742456691
356606.6310,5714592.2530,0.741004043
356606.5862,5714592.1820,0.740538346
356606.5413,5714592.1120,0.742075788
356606.4898,5714592.0320,0.745070562
356606.4432,5714591.9590,0.748427786
356606.3965,5714591.8860,0.752096484
356606.2749,5714591.6910,0.756560604
356606.1953,5714591.5610,0.761004441
356606.1150,5714591.4300,0.764573051
356606.0350,5714591.3000,0.767563254
356605.9927,5714591.2310,0.770861398
356605.9495,5714591.1600,0.774710127
356605.9062,5714591.0900,0.778809135
356605.8629,5714591.0190,0.78312189
356605.8205,5714590.9500,0.784925349
356605.7773,5714590.8800,0.783776822
356605.7349,5714590.8110,0.781989242
356605.6915,5714590.7400,0.779402416
356605.6484,5714590.6700,0.772562438
356605.6040,5714590.5980,0.765394933
356605.5590,5714590.5240,0.755125607
356605.5157,5714590.4540,0.749031038
356605.3843,5714590.2290,0.748973773
356605.2934,5714590.0710,0.746966722
356605.2013,5714589.9100,0.744380369
356605.1101,5714589.7500,0.741876479
356605.0605,5714589.6640,0.740404142
356605.0120,5714589.5790,0.743146358
356604.9624,5714589.4920,0.747432393
356604.9138,5714589.4070,0.750585898
356604.8643,5714589.3210,0.753546712
356604.8066,5714589.2200,0.754130863
356604.7570,5714589.1330,0.753766727
356604.7084,5714589.0480,0.75249352
356604.6588,5714588.9620,0.750629048
356604.6092,5714588.8750,0.749253474
356604.5565,5714588.7830,0.749661931
356604.3964,5714588.4980,0.752185486
356604.3238,5714588.3650,0.755749211
356604.2511,5714588.2320,0.760308257
356604.2129,5714588.1630,0.765659595
356604.1731,5714588.0900,0.770580085
356604.1347,5714588.0200,0.774526443
356604.0956,5714587.9480,0.777450409
356604.0566,5714587.8770,0.779867189
356604.0184,5714587.8070,0.781858942
356603.9794,5714587.7360,0.782808995
356603.9019,5714587.5950,0.783013934
356603.8628,5714587.5230,0.78301403
356603.8238,5714587.4520,0.782672838
356603.7840,5714587.3800,0.781439287
356603.7434,5714587.3050,0.779867576
356603.7030,5714587.2320,0.77920406
356603.6026,5714587.0430,0.779922732
356603.5375,5714586.9190,0.781541156
356603.4732,5714586.7960,0.784100315
356603.4082,5714586.6720,0.787590091
356603.3733,5714586.6050,0.791484754
356603.3383,5714586.5390,0.794992049
356603.3048,5714586.4750,0.798334151
356603.2699,5714586.4080,0.801370961
356603.2357,5714586.3430,0.803903384
356603.2006,5714586.2760,0.805839619
356603.1657,5714586.2090,0.807531181
356603.1305,5714586.1420,0.808970085
356603.0885,5714586.0620,0.80961419
356602.9899,5714585.8610,0.808969341
356602.9254,5714585.7240,0.807530333
356602.8611,5714585.5880,0.8058339
356602.7963,5714585.4520,0.803880867
356602.7312,5714585.3140,0.801136775
356602.6975,5714585.2430,0.797471817
356602.6624,5714585.1680,0.793544566
356602.6272,5714585.0940,0.789748044
356602.5928,5714585.0210,0.785543129
356602.5577,5714584.9470,0.781064654
356602.5170,5714584.8610,0.777163016
356602.4830,5714584.7890,0.774385687
356602.4480,5714584.7150,0.772443486
356602.4129,5714584.6410,0.771343833
356602.3770,5714584.5650,0.77222527
356602.2858,5714584.3670,0.775030165
356602.2331,5714584.2500,0.778395581
356602.2033,5714584.1840,0.781953081
356602.1469,5714584.0590,0.786106079
356602.1165,5714583.9910,0.790382844
356602.0868,5714583.9250,0.793895974
356602.0567,5714583.8590,0.79680873
356601.9959,5714583.7240,0.799683255
356601.9662,5714583.6580,0.8017951
356601.9362,5714583.5910,0.802799125
356601.9060,5714583.5240,0.80299129
356601.8761,5714583.4580,0.802794441
356601.8458,5714583.3900,0.80207047
356601.8154,5714583.3230,0.800921327
356601.7850,5714583.2560,0.800169526
356601.7540,5714583.1870,0.8
356601.7225,5714583.1170,0.8
356601.6921,5714583.0490,0.8
356601.5953,5714582.8370,0.8
356601.5263,5714582.6870,0.800195751
356601.4581,5714582.5390,0.801031721
356601.3890,5714582.3880,0.802464512
356601.3527,5714582.3090,0.80414767
356601.2792,5714582.1490,0.805866463
356601.2420,5714582.0680,0.807754886
356601.2049,5714581.9870,0.809995992
356601.1678,5714581.9060,0.812236207
356601.1314,5714581.8270,0.814130381
356601.0888,5714581.7340,0.815660585
356601.0517,5714581.6530,0.816510873
356601.0131,5714581.5690,0.816518751
356600.9186,5714581.3540,0.815667548
356600.8602,5714581.2170,0.814340904
356600.8026,5714581.0820,0.813513437
356600.7440,5714580.9450,0.813521523
356600.7126,5714580.8710,0.814575419
356600.6818,5714580.7990,0.816944877
356600.6504,5714580.7260,0.820242073
356600.6188,5714580.6520,0.824156638
356600.5876,5714580.5780,0.828117609
356600.5568,5714580.5060,0.831882646
356600.5259,5714580.4340,0.835843681
356600.4945,5714580.3600,0.839755296
356600.4630,5714580.2870,0.843050165
356600.4315,5714580.2130,0.845641352
356600.4000,5714580.1390,0.847773627
356600.3673,5714580.0620,0.850254954
356600.2769,5714579.8570,0.85334065
356600.2164,5714579.7220,0.85665472
356600.1568,5714579.5890,0.860047818
356600.0962,5714579.4530,0.863658311
356600.0636,5714579.3810,0.867789036
356600.0318,5714579.3100,0.872256451
356599.9999,5714579.2380,0.876396466
356599.9675,5714579.1660,0.880230751
356599.9355,5714579.0950,0.884458878
356599.9032,5714579.0220,0.88895413
356599.8706,5714578.9500,0.893081878
356599.8381,5714578.8770,0.896696321
356599.8055,5714578.8040,0.900240928
356599.7729,5714578.7310,0.904416257
356599.7364,5714578.6500,0.909439828
356599.7025,5714578.5740,0.915239605
356599.6125,5714578.3690,0.921646739
356599.5537,5714578.2320,0.92837273
356599.4951,5714578.0960,0.934989949
356599.4365,5714577.9600,0.941412788
356599.4049,5714577.8870,0.946986746
356599.3740,5714577.8150,0.951404663
356599.3425,5714577.7420,0.954969534
356599.3110,5714577.6690,0.958337075
356599.2801,5714577.5970,0.961393496
356599.2479,5714577.5230,0.964132483
356599.2169,5714577.4510,0.966902769
356599.1853,5714577.3780,0.969999995
356599.1544,5714577.3060,0.973097191
356599.1229,5714577.2330,0.975867408
356599.0913,5714577.1590,0.97860638
356599.0587,5714577.0840,0.981660037
356598.9740,5714576.8760,0.98502395
356598.9207,5714576.7400,0.988576797
356598.8678,5714576.6060,0.992766049
356598.8140,5714576.4690,0.997499355
356598.7851,5714576.3950,1.002509005
356598.7568,5714576.3230,1.007251532
356598.7279,5714576.2500,1.011654308
356598.6996,5714576.1780,1.015652318
356598.6707,5714576.1050,1.019630499
356598.6426,5714576.0330,1.023557022
356598.6137,5714575.9590,1.027425001
356598.5800,5714575.8740,1.031257049
356598.5269,5714575.7390,1.035056879
356598.4939,5714575.6550,1.038832659
356598.4638,5714575.5780,1.042591765
356598.3861,5714575.3670,1.053069228
356598.3398,5714575.2360,1.079750128
356598.3136,5714575.1620,1.097619242
356598.2645,5714575.0230,1.108547291
356598.2149,5714574.8830,1.118549849
356598.1888,5714574.8090,1.127165478
356598.1391,5714574.6680,1.132251139
356598.1086,5714574.5820,1.133584757
356598.0824,5714574.5080,1.138259582
356598.0557,5714574.4320,1.159066933
356598.0248,5714574.3450,1.194836148
356597.9986,5714574.2710,1.210079048
356597.9452,5714574.1200,1.198570756
356597.9181,5714574.0430,1.184708587
356597.8464,5714573.8350,1.170999616
356597.8013,5714573.7020,1.157444107
356597.7559,5714573.5670,1.143995234
356597.7104,5714573.4330,1.130484131
356597.6858,5714573.3600,1.116260595
356597.6618,5714573.2890,1.097928668
356597.6374,5714573.2170,1.07069195
356597.6129,5714573.1450,1.067312488
356597.5884,5714573.0730,1.066486074
356597.5644,5714573.0020,1.065493675
356597.5403,5714572.9310,1.064387527
356597.5159,5714572.8580,1.063489882
356597.4913,5714572.7860,1.062978055
356597.4669,5714572.7140,1.062139954
356597.4427,5714572.6420,1.060947902
356597.4178,5714572.5690,1.060174572
356597.3918,5714572.4920,1.06
356597.3257,5714572.2840,1.06
356597.2822,5714572.1430,1.06
356597.2386,5714572.0010,1.06
356597.1954,5714571.8610,1.06
356597.1718,5714571.7840,1.06
356597.1493,5714571.7110,1.06
356597.1257,5714571.6350,1.06
356597.1025,5714571.5590,1.06
356597.0790,5714571.4830,1.06
356597.0555,5714571.4060,1.06
356597.0282,5714571.3180,1.060203243
356597.0051,5714571.2430,1.061057139
356596.9820,5714571.1680,1.062494642
356596.9585,5714571.0920,1.064402388
356596.9340,5714571.0120,1.067176034
356596.8467,5714570.7260,1.071089527
356596.8033,5714570.5830,1.075578753
356596.7593,5714570.4380,1.080003211
356596.7356,5714570.3600,1.084427941
356596.7118,5714570.2810,1.088931853
356596.6880,5714570.2030,1.093073716
356596.6648,5714570.1260,1.096695331
356596.6411,5714570.0480,1.100238082
356596.6173,5714569.9700,1.104409133
356596.5936,5714569.8910,1.109236707
356596.5703,5714569.8150,1.11471374
356596.5471,5714569.7380,1.121607318
356596.5234,5714569.6600,1.129975745
356596.4995,5714569.5810,1.13960568
356596.4719,5714569.4900,1.150488482
356596.3888,5714569.2090,1.161387094
356596.3494,5714569.0710,1.17020018
356596.3104,5714568.9340,1.178488789
356596.2711,5714568.7970,1.186256891
356596.2505,5714568.7250,1.193370157
356596.2293,5714568.6510,1.198478217
356596.2080,5714568.5770,1.202194451
356596.1872,5714568.5040,1.205956533
356596.1660,5714568.4300,1.210004019
356596.1452,5714568.3570,1.214133697
356596.1240,5714568.2830,1.218123539
356596.1028,5714568.2090,1.221939197
356596.0782,5714568.1230,1.226157368
356596.0574,5714568.0500,1.231154565
